,author,title,source
118,trpw,Whatever Throats Your Coat,showbot
119,Tim Watson (TRPW),Where My Pen Is,showbot
120,Searanex,Wicked Gladiators,showbot
121,ambassador_domo,Wicked Long,showbot
122,TheWraith86,"Wicked, the mini series",YouTube
123,trpw,You Beat The Sick Guy... Feel Good?,showbot
124,Aahzymandias,You cracked open an egg in my head!,showbot
125,trpw,You're Saying It Wrong,showbot
126,ambassador_domo,Zelda-fication,showbot
127,Dr.Calhoun,a real proper turkey,YouTube
128,JayFunktastic,athletic turkey,showbot
129,JayFunktastic,control your mouth noises!,showbot
130,Aahz,eee meow,showbot
131,moose2271,eem mew,showbot
132,Badpour,for Petes sake,YouTube
133,Aahzymandias,oh that Bobby...for SCIENCE!,showbot
134,Max Trollbot,only jigglers in the village,YouTube
135,JayFunktastic,throating your coat,showbot
136,JayFunktastic,without the cameras it's just peeing,showbot
137,JayFunktastic,without the cameras it’s just peeing,YouTube
138,drcalhounphd,🎵Eat Turkey Every Day 🚬,showbot
