author,title,source,time
ambassador_domo,TMS Story-Time,showbot,Scraped
ambassador_domo,Scott by Himself - Bad Food Decisions,showbot,Scraped
Tim Watson (TRPW), (v) From Hell's Heart I Vomit At You,YouTube,2025-02-03 11:07:54.495308
Tim Watson (TRPW), Oh the TVs Travisty,YouTube,2025-02-03 11:09:20.155025
Tim Watson (TRPW), It's not like I wanted to vomit,YouTube,2025-02-03 11:09:49.977164
TenLobster, queso and the holy toilet,YouTube,2025-02-03 11:10:25.514651
Tim Watson (TRPW), (s) The Call It The Streak Bleeeuurgity Bleeeuurgity (Ray Stevens),YouTube,2025-02-03 11:15:42.691595
Tim Watson (TRPW), (s) Hit Me with your Vomit Stick (Ian Dury and the Blockheads),YouTube,2025-02-03 11:17:41.852525
Ian L (i_am_scifi), What About Fluorescent Lightning? You Know They've Got Talent.,YouTube,2025-02-03 11:18:00.464213
Tim Watson (TRPW), Does the Drummer have a detachable Arm cos I like really wanted to know,YouTube,2025-02-03 11:21:01.059029
Ian L (i_am_scifi), Stretch Armstrong is Lethal,YouTube,2025-02-03 11:22:04.286136
Red Fraggle, Goo with beads,YouTube,2025-02-03 11:22:17.345712
Ian L (i_am_scifi), I Don't Like Stretch Armstrong Beeeeeeeeeeeads,YouTube,2025-02-03 11:22:24.891163
Red Fraggle, Speaking of things,YouTube,2025-02-03 11:22:43.856230
fastidiost," Pizza and love, Pizza and Love",YouTube,2025-02-03 11:23:41.327689
Tim Watson (TRPW), Ringo Spat It Out,YouTube,2025-02-03 11:24:39.090841
Red Fraggle, (v) With Pizza And Love,YouTube,2025-02-03 11:24:46.877362
Tim Watson (TRPW), Ringo Spat It Out with Peace and Love,YouTube,2025-02-03 11:24:59.879798
Ian L (i_am_scifi), (s) I Got Ringo Stoned,YouTube,2025-02-03 11:28:17.334928
Ian L (i_am_scifi)," I'm Allergic, With Peace and Love",YouTube,2025-02-03 11:28:41.755684
Searanex, (v) Pot with peace and love,YouTube,2025-02-03 11:28:49.250215
Tim Watson (TRPW), Lyft and Taxes -two of life's inevitables,YouTube,2025-02-03 11:34:26.131659
Ian L (i_am_scifi), Pho-Net-Ick-A-Lee,YouTube,2025-02-03 11:41:15.528075
Matthew Sargent, Four and a Half Broken Noses,YouTube,2025-02-03 11:43:59.315541
Ian L (i_am_scifi), I'm Here For the Whole Ass,YouTube,2025-02-03 11:45:13.730358
Tim Watson (TRPW), Here for the whole Ass,YouTube,2025-02-03 11:45:21.151312
Searanex, Here for the WHOLE ass with Dunaway,YouTube,2025-02-03 11:45:22.946493
Biocow," The whole ass, with Brian Dunnaway.",YouTube,2025-02-03 11:45:24.750651
