author,title,source,time
Searanex,Notable increase in not pain,showbot,Scraped
Searanex,Boomerang flu,showbot,Scraped
drcalhounphd,Isn't there some emergency thing with vitamin c and an punny name?,showbot,Scraped
drcalhounphd,Chi Chi's is reopening,showbot,Scraped
ikcor_,OK BOOMERANG FLU,showbot,Scraped
Searanex, Notable increase in not pain,YouTube,2024-12-06 11:05:31.439854
Dr.Calhoun, Isn't there some emergency thing with vitamin c and an punny name?,YouTube,2024-12-06 11:05:34.262579
Red Fraggle, A Bad case of the Chi Chis,YouTube,2024-12-06 11:05:48.186738
Ikcor, Immaculate ConCHICHIseption,YouTube,2024-12-06 11:06:58.385530
Searanex, A very specific thing did not happen on that date,YouTube,2024-12-06 11:07:18.374560
Searanex," Well, it was.... good",YouTube,2024-12-06 11:11:18.371952
Searanex, Non Miranda dropoff,YouTube,2024-12-06 11:12:00.294084
Ikcor, The Chick in the Post-Credits Bucket,YouTube,2024-12-06 11:16:32.729052
naughtomaton, Hoping for more swinging,YouTube,2024-12-06 11:26:46.591208
Searanex, Smash Mouth smash ups,YouTube,2024-12-06 11:34:19.080825
Red Fraggle, Smash Up Mouth,YouTube,2024-12-06 11:35:46.278944
Sunbun, Battling a Frogpants All-Star,YouTube,2024-12-06 11:36:28.182315
Ikcor, Pumbaa Gabriel,YouTube,2024-12-06 11:37:21.348478
Red Fraggle, Peter Peter SHIT,YouTube,2024-12-06 11:37:29.740743
Benjin006, Peter Shit,YouTube,2024-12-06 11:37:32.864292
StephanieinahpetS, Peter SHIT!!,YouTube,2024-12-06 11:37:41.255318
naughtomaton, Peter Gabriel is gonna keep me up tonight,YouTube,2024-12-06 11:40:10.058062
Shaun Bloom, Jagged Little Phil,YouTube,2024-12-06 11:44:13.113214
Red Fraggle," You Oughtta Know this song, Scott",YouTube,2024-12-06 11:45:23.038858
Ikcor, You Oughtta Know the Name of This Song,YouTube,2024-12-06 11:45:25.699030
naughtomaton, Musical root canal,YouTube,2024-12-06 11:45:39.504674
Tim Watson (TRPW), Musical Root Canal,YouTube,2024-12-06 11:45:53.343034
Ikcor, This songs wants to be a tribute,YouTube,2024-12-06 11:49:45.492002
Tim Watson (TRPW), Wants To Be A Wannabe,YouTube,2024-12-06 11:50:10.816760
Benjin006, Nic Cage in Baby Fingers,YouTube,2024-12-06 11:53:13.468531
