author,title,source
Aahz, Can you hear me now?,YouTube
Aahz, efl-abba,YouTube
Biocow, Gladadyator,YouTube
BrainbowBrite99, Illness Gum,YouTube
GamerguyRy, Ai created this beatles man!,YouTube
GamerguyRy, Cleaning up Trump supporter garbage with Wendi,YouTube
GamerguyRy, Lubricating your intuitive cognition with Wendi,YouTube
GamerguyRy, You must be 18 or older to buy this child's toy,YouTube
Gian Stonegargoyle in the chat, We all needed Wendi last week,YouTube
Ikcor, Face-level Farts with Wendi,YouTube
Ikcor, Radioation!,YouTube
Ikcor, Test,YouTube
JayFunktastic, Galaxian of Godfathers,YouTube
JayFunktastic, OnionWars,YouTube
JayFunktastic, The French smeared their stain,YouTube
JayFunktastic, farting on cables,YouTube
JayFunktastic, no more Spirit in the sky,YouTube
JoeGuyArt, A Nice Long One,YouTube
JoeGuyArt, Brian is not pop-pu-lar with Tina,YouTube
JoeGuyArt, We Got Trouble... right here in TMS!,YouTube
Louis, Healing with Wendi,YouTube
Mantlebeard, Looking at our stuff with Wendi,YouTube
Matthew Sargent, Exact DNA Profiles with Wendi,YouTube
Matthew Sargent, Trading Apples for Cigarettes,YouTube
Matthew Sargent, When the Big Fat Bugs DIE,YouTube
Max Trollbot, We know you're listening because you listen,YouTube
Monica Stone," (s) And I’m Bee, Bee Falling",YouTube
Monica Stone," Beatles Touched Weens, Confirmed",YouTube
Raven_ctg, Put it in my veins,YouTube
Raven_ctg, Towards the Light with Wendi,YouTube
Searanex, $69 round trip. Nice.,YouTube
Searanex, (v) Dorothy! And the rest!,YouTube
Searanex, Farting on the wrong cable,YouTube
Searanex, Infowars is now ACTUAL parody,YouTube
Searanex, Rude-ementry,YouTube
Searanex, Taunting take off tune,YouTube
Searanex, The music says we're TMS,YouTube
StephanieinahpetS, It Works For All The Numbers,YouTube
StephanieinahpetS, Too Much Radioation!,YouTube
TheWraith86, Guardians of the Galaga,YouTube
TheWraith86," Spirit, were even $69 is NOT nice",YouTube
Thomas Chambers," I Hate Spirit, Yes I Do. I Hate Spirit How About You?",YouTube
Thomas Chambers, Nothing Is Original with Wendi,YouTube
Tim Russell, A Little George Hair,YouTube
Tim Russell," Are You Self-Aware For More Than Four Hours, Call Your Tad-Pool Doctor.",YouTube
Tim Russell, Big Ol' Scab That Keeps Bleeding,YouTube
Tim Russell, Go To Court Kids,YouTube
Tim Russell, Host Your Own Roast,YouTube
Tim Russell, I'm Doing It Today,YouTube
Tim Russell," It's Pretty Good, But Not Perfect",YouTube
Tim Russell, Leave Me Alone. I'm Testing My RBF,YouTube
Tim Russell," Oh, oh. Ozempic Believe Me I Know",YouTube
Tim Russell, Our Brains Are Just Guessing,YouTube
Tim Russell, Sally Fiddling With Her Settings,YouTube
Tim Russell, Show Me The Pharma Money,YouTube
Tim Russell, Tina Giving Brian - The Look,YouTube
Tim Watson (TRPW), (s) He's Every Beatle (I'm every woman - Chaka Khan),YouTube
Tim Watson (TRPW)," (s) It's a Pain in the ass, It's a Pain in the ass (Sly and the Family Stone - Family Affair)",YouTube
Tim Watson (TRPW), A S S he-he-he,YouTube
Tim Watson (TRPW), Are Frogs Gay Cos I like Really Wanted To Know,YouTube
Tim Watson (TRPW), Ask Your Doctor if Band Meeting is right for you,YouTube
Tim Watson (TRPW), Bruz Broz,YouTube
Tim Watson (TRPW), Cuckoo for Clocks,YouTube
Tim Watson (TRPW), Everything is Cancer (Every Sperm is Sacred - Monty Python),YouTube
Tim Watson (TRPW), Frigga - I hardly Know Her,YouTube
Tim Watson (TRPW), Galaga Aural Exam,YouTube
Tim Watson (TRPW), Galaga Minutiae,YouTube
Tim Watson (TRPW), He's All the Beatles,YouTube
Tim Watson (TRPW), Making Canada Pay For It,YouTube
Tim Watson (TRPW), Rory Galaga,YouTube
Tim Watson (TRPW), TMS Maddening To Do. Maddening to Listen to,YouTube
Tim Watson (TRPW), Volde=Trump,YouTube
Tim Watson (TRPW), Volde=Trump with Wendi,YouTube
Tonda Gossa, Goin up to the Spirit in the skyyyy,YouTube
ZoeBringsBacon, A Load Of Hairy Men & A Toilet,YouTube
ZoeBringsBacon, Apples For Cigarettes,YouTube
ZoeBringsBacon, Farting On Cables,YouTube
ZoeBringsBacon, He's All The Beatles,YouTube
ZoeBringsBacon," Weather, How Does It Work Because I REALLY Want To Know!",YouTube
ZoeBringsBacon, When The Big Fat Bugs Die,YouTube
crutlefish, 15% Self Aware,YouTube
crutlefish, 17 pixels with Wendi,YouTube
crutlefish, How many people are in a five piece band because I like really wanna know?,YouTube
naughtomaton, Being kind is totally punk rock with Wendi,YouTube
trpw,Lee Ermey Style,showbot
trpw,The Nose Tracks,showbot
